Date,Samsung,LG
2021-01-04,86876,143365
2021-01-05,80608,142169
2021-01-06,89827,151118
2021-01-07,89760,150869
2021-01-08,88195,147279
2021-01-09,84085,149836
2021-01-10,85379,152922
2021-01-11,85833,145408
2021-01-12,83217,155186
2021-01-13,87344,146300
2021-01-14,82626,143249
2021-01-15,81953,157983
2021-01-16,82215,141618
2021-01-17,81957,141085
2021-01-18,85055,141341
2021-01-19,89041,159004
2021-01-20,85254,158071
2021-01-21,89451,144495
2021-01-22,80242,142903
2021-01-23,84661,154632
2021-01-24,89857,141856
2021-01-25,81062,151816
2021-01-26,85943,151728
2021-01-27,85640,155321
2021-01-28,89843,148923
2021-01-29,85969,159289
2021-01-30,88594,156066
2021-01-31,88903,156930
2021-02-01,87633,152151
2021-02-02,81398,155963
2021-02-03,83553,141995
2021-02-04,89165,158478
2021-02-05,85235,145768
2021-02-06,85195,156447
2021-02-07,84313,150446
2021-02-08,89574,156909
2021-02-09,82937,142867
2021-02-10,83094,147328
2021-02-11,84460,141840
2021-02-12,87804,158801
2021-02-13,85739,157620
2021-02-14,80632,146061
2021-02-15,86636,142517
2021-02-16,87230,142480
2021-02-17,82657,154833
2021-02-18,88269,156618
2021-02-19,85686,142061
2021-02-20,84887,149054
2021-02-21,88375,158628
2021-02-22,86082,152547
2021-02-23,87156,148370
2021-02-24,81086,156277
2021-02-25,80225,149643
2021-02-26,89288,153715
2021-02-27,83089,140486
2021-02-28,81257,151272
2021-03-01,81810,159735
2021-03-02,88945,157598
2021-03-03,87044,146329
2021-03-04,86099,153763
2021-03-05,83923,146922
2021-03-06,87800,142873
2021-03-07,80204,149867
2021-03-08,87258,154662
2021-03-09,83766,143709
2021-03-10,85271,142450
2021-03-11,86954,146309
2021-03-12,80930,150900
2021-03-13,84103,140275
2021-03-14,87273,145723
2021-03-15,83320,159436
2021-03-16,80932,152727
2021-03-17,90000,140913
2021-03-18,87577,142845
2021-03-19,85530,140745
2021-03-20,88155,146230
2021-03-21,81125,156705
2021-03-22,82857,152302
2021-03-23,80679,150703
2021-03-24,85283,155910
2021-03-25,88364,150766
2021-03-26,88805,158188
2021-03-27,80764,159717
2021-03-28,83427,159864
2021-03-29,83596,159834
2021-03-30,84923,151123
2021-03-31,85678,145225
2021-04-01,85808,153657
2021-04-02,85909,159024
2021-04-03,84674,150013
2021-04-04,84543,157017
2021-04-05,89513,156306
2021-04-06,82896,141469
2021-04-07,82610,146397
2021-04-08,87095,156218
2021-04-09,82664,147180
2021-04-10,80355,159806
2021-04-11,83446,158504
2021-04-12,85236,148314
2021-04-13,85312,152396
